id,name,domain,industry,city,state,country,phone,numberofemployees,annualrevenue,lifecyclestage,hs_lead_status,createdate,lastmodifieddate
268694656218,Pakistan Tech Innovations,pakistantech.pk,COMPUTER_SOFTWARE,,,Pakistan,+921234567890,85,12000000,lead,,2025-10-23T14:18:07.797Z,
268695966963,DUBAI TECH,dubaitech.ae,,,,,,,,lead,,2025-10-22T16:57:16.885Z,
268695966965,Dakar Tech,dakartech.sn,,,,,,,,lead,,2025-10-22T16:57:16.963Z,
269307207902,Indonesia Finance Ltd,indonesiafinance.co.id,BANKING,,,Indonesie,+622345678901,450,75000000,lead,,2025-10-23T14:18:50.949Z,
269307207923,Ghana Finance Ltd,ghanafinance.com.gh,BANKING,,,Ghana,+233234567890,350,60000000,lead,,2025-10-23T14:19:19.682Z,
269341040873,Senegal Tech Solutions,senegaltech.sn,COMPUTER_SOFTWARE,,,Senegal,+221123456789,75,8000000,lead,,2025-10-23T14:18:41.217Z,
269344650439,Panama Tech Corp,panamatech.com.pa,COMPUTER_SOFTWARE,,,Panama,+50712345678,90,12000000,lead,,2025-10-23T14:19:13.146Z,
269355752645,Education Pakistan Group,educationpakistan.pk,EDUCATION_MANAGEMENT,,,Pakistan,+922345678901,220,35000000,lead,,2025-10-23T14:18:10.440Z,
269361140967,Finance Brasil Ltd,financebrasil.br,BANKING,,,Bresil,+552234567890,950,180000000,lead,,2025-10-23T14:18:13.824Z,
269689063645,Advanced Healthcare Ltd,advancedhealth.co.uk,HOSPITAL_HEALTH_CARE,,,UK,+442345678901,750,90000000,lead,,2025-10-23T14:18:06.010Z,
269699844296,Egypt Tech Solutions,egypttech.eg,COMPUTER_SOFTWARE,,,Egypt,+201234567890,150,20000000,lead,,2025-10-23T14:18:32.367Z,
269703440595,Indonesia Tech Corp,indonesiatech.co.id,COMPUTER_SOFTWARE,,,Indonesie,+621234567890,190,22000000,lead,,2025-10-23T14:18:48.715Z,
269738349797,Scandinavia Finance,scandinaviafinance.no,BANKING,,,Norvege,+4723456789,720,130000000,lead,,2025-10-23T14:18:39.596Z,
269752805584,UAE Technologies Group,uaetechnologies.ae,COMPUTER_SOFTWARE,,,UAE,+971123456789,320,55000000,lead,,2025-10-23T14:18:16.334Z,
269752805610,Brunei Technologies,bruneitech.bn,COMPUTER_SOFTWARE,,,Brunei,+6731234567,520,68000000,lead,,2025-10-23T14:18:45.065Z,
269758186692,Gulf Technologies Group,gulftechnologies.qa,COMPUTER_SOFTWARE,,,Qatar,+97412345678,650,85000000,lead,,2025-10-23T14:17:59.226Z,
269815020741,Algeria Tech Innovations,algeriatech.dz,COMPUTER_SOFTWARE,,,Algerie,+213123456789,180,25000000,lead,,2025-10-23T14:18:24.717Z,
269815020745,Algeria Healthcare,algeriahealth.dz,HOSPITAL_HEALTH_CARE,,,Algerie,+213234567890,420,60000000,lead,,2025-10-23T14:18:26.490Z,
269815020754,Mexico Healthcare,mexicohealth.com.mx,HOSPITAL_HEALTH_CARE,,,Mexique,+522345678901,380,45000000,lead,,2025-10-23T14:19:06.778Z,
269820406006,Zanzibar Fisheries,zanzibarfisheries.co.tz,COMPUTER_HARDWARE,,,Zanzibar,+255234567890,120,15000000,lead,,2025-10-23T14:18:59.165Z,
269820406972,Panama Logistics,panamalogistics.com.pa,MANAGEMENT_CONSULTING,,,Panama,+50723456789,180,25000000,lead,,2025-10-23T14:19:14.889Z,
269823995077,Malaysia Healthcare,malaysiahealth.my,HOSPITAL_HEALTH_CARE,,,Malaise,+60323456789,680,85000000,lead,,2025-10-23T14:18:54.554Z,
269825793261,Qatari Finance Solutions,qatarifinance.qa,BANKING,,,Qatar,+97423456789,280,120000000,lead,,2025-10-23T14:18:01.923Z,
269825793263,Brasil Tech Corp,brasiltech.com.br,COMPUTER_SOFTWARE,,,Bresil,+551112345678,580,75000000,lead,,2025-10-23T14:18:12.234Z,
269829390533,Senegal Healthcare,senegalhealth.sn,HOSPITAL_HEALTH_CARE,,,Senegal,+221234567890,280,35000000,lead,,2025-10-23T14:18:43.445Z,
269832987863,Saudi Finance Group,saudifinance.sa,BANKING,,,KSA,+966234567890,1200,220000000,lead,,2025-10-23T14:18:23.110Z,
269834787008,KSA Tech Solutions,ksatech.sa,COMPUTER_SOFTWARE,,,KSA,+966123456789,95,15000000,lead,,2025-10-23T14:18:21.249Z,
269834787019,Malaysia Technologies,malaysiatech.my,COMPUTER_SOFTWARE,,,Malaise,+60312345678,540,72000000,lead,,2025-10-23T14:18:53.064Z,
